Soil Moisture, Soil Temperature, BMETemp, BMEPressure, BMEAltitude, BMEHumidity:
b'82,162.99,0.00,0.00,44330.00,0.00\r\
b'106,142.98,0.00,0.00,44330.00,0.00\r\
b'114,129.81,0.00,0.00,44330.00,0.00\r\
b'119,121.51,0.00,0.00,44330.00,0.00\r\
b'121,116.63,0.00,0.00,44330.00,0.00\r\
b'122,114.68,0.00,0.00,44330.00,0.00\r\
b'123,113.70,0.00,0.00,44330.00,0.00\r\
b'123,112.73,0.00,0.00,44330.00,0.00\r\
b'124,112.24,0.00,0.00,44330.00,0.00\r\
b'124,111.75,0.00,0.00,44330.00,0.00\r\
b'124,111.75,0.00,0.00,44330.00,0.00\r\
